joint,name,type,side,required_deg,peak_sweep,peak_step,install_offset_deg,best_available_deg,best_available_clocking_deg,best_available_axis,locked_required_deg,locked_clocking_deg,resolution,note
LCA Front Bush,lower_wishbone_inboard_front,bushing,left,0.0,01_bump_parallel,0,0.0,0.0,,"-1.000000,-0.000000,0.000000",,,"LCA Front Bush: housing on 'Chassis' (fixed to chassis), bore on 'Lower Wishbone' (fitted from >=3 points), housing centred",
UCA Front Bush,upper_wishbone_inboard_front,bushing,left,0.0,01_bump_parallel,0,0.0,0.0,,"-1.000000,0.000000,-0.000000",,,"UCA Front Bush: housing on 'Chassis' (fixed to chassis), bore on 'Upper Wishbone' (fitted from >=3 points), housing centred",
LBJ,lower_wishbone_outboard,spherical,left,20.00458475115203,08_damper_stroke,64,0.0,19.380519587471596,,"-0.296871,-0.301489,0.906075",,,"LBJ: housing on 'Lower Wishbone' (fitted from >=3 points), bore on 'Upright' (fitted from >=3 points), housing centred",
UBJ,upper_wishbone_outboard,spherical,left,31.36706817135281,06_steer_droop,0,0.0,25.939895340275942,,"0.339153,0.342937,-0.875996",,,"UBJ: housing on 'Upper Wishbone' (fitted from >=3 points), bore on 'Upright' (fitted from >=3 points), housing centred",
Outer Tie Rod End,trackrod_outboard,rod_end,left,30.661134832825645,10_corner_ramp,64,8.369823275620334,26.126153354498385,,"0.154661,0.008306,-0.987933",30.67926543708687,91.50000000000001,"Outer Tie Rod End: housing on 'Track Rod' (2-point link, transport (spin undetermined)), bore on 'Upright' (fitted from >=3 points), housing indeterminate",
Inner Tie Rod End,trackrod_inboard,rod_end,left,15.14392444905809,06_steer_droop,0,9.13754552754483,3.2786284706953097,,"0.976858,-0.212634,0.023120",15.459784092321698,267.6,"Inner Tie Rod End: housing on 'Track Rod' (2-point link, transport (spin undetermined)), bore on 'Chassis' (fixed to chassis), housing indeterminate",
Damper Lower Mount,strut_bottom,spherical,left,1.939648512916392e-07,08_damper_stroke,32,0.0,1.732516068386758e-07,,"-1.000000,0.000000,0.000000",0.0,270.0,"Damper Lower Mount: housing on 'Spring/Damper' (2-point link, transport (spin undetermined)), bore on 'Lower Wishbone' (fitted from >=3 points), housing indeterminate",
Damper Upper Mount,strut_top,spherical,left,1.201290018570944e-07,08_damper_stroke,11,0.0,5.9659214457497e-08,,"-1.000000,0.000000,0.000000",0.0,270.0,"Damper Upper Mount: housing on 'Spring/Damper' (2-point link, transport (spin undetermined)), bore on 'Chassis' (fixed to chassis), housing indeterminate",
