sweep,kind,channel,characteristic,column,unit,at_design,min,max,range,at_start,at_end
04_steer_design,steer,trail,Mechanical trail,mechanical_trail_left,mm,49.23094831348842,24.987968284635212,66.71550957232034,41.72754128768513,66.71550957232034,24.987968284635212
04_steer_design,steer,half_track,Half track,half_track_left,mm,453.5420006535761,424.2481789564941,463.6023162146115,39.35413725811742,424.2481789564941,463.5645211565631
04_steer_design,steer,track_change,Track change,track_change,mm,3.08598066567356e-06,-19.27087494631178,3.08598066567356e-06,19.270878032292444,-19.27087494631178,-19.270871079801623
04_steer_design,steer,damper_length,Damper length,damper_length_left,mm,242.81129750305004,240.45473246172537,244.16041410485124,3.705681643125871,240.45473246172537,244.16041410485124
04_steer_design,steer,rc_height,Roll-centre height,roll_center_z,mm,12.492482494831808,6.413719945245586,12.492482494831808,6.078762549586222,6.413719945245586,6.413722555017281
04_steer_design,steer,rc_lateral,Roll-centre lateral position,roll_center_y,mm,-3.032716000461733e-05,-300.74831558576057,300.7482494515798,601.4965650373404,-300.74831558576057,300.7482494515798
04_steer_design,steer,fvic_y,FVIC lateral (y),fvic_y_left,mm,-5930.606284195645,-6593.908037681082,-5028.944488433475,1564.9635492476064,-5028.944488433475,-6593.908037681082
04_steer_design,steer,fvic_z,FVIC height (z),fvic_z_left,mm,185.00002037894737,44.36264936464224,289.6106949073001,245.24804554265788,44.36264936464224,289.6106949073001
04_steer_design,steer,fvsa,FVSA length,fvsa_length_left,mm,6386.848504583927,5453.368306786063,7063.423533620201,1610.055226834138,5453.368306786063,7063.423533620201
04_steer_design,steer,rack,Rack displacement,rack_displacement,mm,-4.6483194182656014e-08,-34.999999991074674,34.999999921485795,69.99999991256047,-34.999999991074674,34.999999921485795
04_steer_design,steer,ackermann,Ackermann,ackermann_percent,%,,43.706491714436275,60.93593771457453,17.229446000138253,60.93593771457453,60.935906164922606
04_steer_design,steer,steering_ratio,Steering ratio (rack),steer_per_rack_abs,deg/mm,0.6832501761521889,0.6728798082964454,0.9022292195167144,0.22934941122026897,0.9022292195167144,0.6815380803855868
05_steer_bump,steer,camber,Camber,camber_left,deg,-0.8833210128712865,-4.042616311666314,4.663720348844183,8.706336660510498,4.663720348844183,-4.042616311666314
05_steer_bump,steer,caster,Caster,caster_left,deg,10.027917693086556,10.025723794367773,10.032126861185192,0.006403066817419756,10.032126861185192,10.025723794367773
05_steer_bump,steer,toe,Toe (positive = toe-in),toe_angle_left,deg,-0.005817878186571,-24.61299214549333,21.66739553837151,46.280387683864845,-24.61299214549333,21.66739553837151
05_steer_bump,steer,scrub_signed,Scrub radius (signed lateral),scrub_radius_signed_left,mm,-1.586617689734819,-2.236659839798624,-1.054940266964087,1.1817195728345369,-2.236659839798624,-1.054940266964087
05_steer_bump,steer,trail,Mechanical trail,mechanical_trail_left,mm,49.24086443656744,25.806564830231597,68.17577053834977,42.36920570811817,68.17577053834977,25.806564830231597
05_steer_bump,steer,half_track,Half track,half_track_left,mm,449.1393549179152,420.0720844188575,459.18892729477113,39.11684287591362,420.0720844188575,459.18892729477113
05_steer_bump,steer,track_change,Track change,track_change,mm,-8.80529270738873,-27.82297295192689,-8.80529270738873,19.01768024453816,-27.82297295192689,-27.822966576786484
05_steer_bump,steer,damper_length,Damper length,damper_length_left,mm,217.0122076817958,214.7306917425493,218.2880077618116,3.557316019262288,214.7306917425493,218.2880077618116
05_steer_bump,steer,rc_height,Roll-centre height,roll_center_z,mm,-42.53411827355039,-42.53411827355039,-41.78509151008787,0.7490267634625241,-41.78509225310769,-41.78509151008787
