# format_version: 3
# timestamp: 1788679590.2440104
# geometry_path: C:\Users\rapha\Documents\BSSR\Suspension_App\BSSR-suspension\models\aurora\rear.yaml
# geometry_hash: eef84e167d20212807fe946cf822463f1ca2655b1565eae5050e94db24b60b50
# sweep_path: C:\Users\rapha\Documents\BSSR\Suspension_App\BSSR-suspension\models\aurora\outputs\rear\_resolved_sweeps\02_damper_stroke.yaml
# sweep_hash: 2197668860144655f0594f9227bc9c4d4453ac39e8ee390962424d3f5293f8d3
# column_units: {"anti_dive": "%", "anti_lift": "%", "anti_squat": "%", "axle_inboard_x": "mm", "axle_inboard_y": "mm", "axle_inboard_z": "mm", "axle_midpoint_x": "mm", "axle_midpoint_y": "mm", "axle_midpoint_z": "mm", "axle_outboard_x": "mm", "axle_outboard_y": "mm", "axle_outboard_z": "mm", "camber": "deg", "caster": "deg", "damper_length": "mm", "deriv_camber_wrt_hub_z": "deg/mm", "deriv_caster_wrt_hub_z": "deg/mm", "deriv_damper_length_wrt_hub_z": "mm/mm", "deriv_half_track_wrt_hub_z": "mm/mm", "deriv_kpi_wrt_hub_z": "deg/mm", "deriv_steer_angle_wrt_hub_z": "deg/mm", "deriv_toe_angle_wrt_hub_z": "deg/mm", "deriv_wheel_center_x_wrt_hub_z": "mm/mm", "fvic_y": "mm", "fvic_z": "mm", "fvsa_length": "mm", "half_track": "mm", "kpi": "deg", "mechanical_trail": "mm", "scrub_radius": "mm", "steer_angle": "deg", "steering_axis_offset_ground": "mm", "strut_bottom_x": "mm", "strut_bottom_y": "mm", "strut_bottom_z": "mm", "strut_top_x": "mm", "strut_top_y": "mm", "strut_top_z": "mm", "svic_x": "mm", "svic_z": "mm", "svsa_angle": "deg", "svsa_length": "mm", "target_damper_length_left": "mm", "toe_angle": "deg", "trailing_arm_outboard_x": "mm", "trailing_arm_outboard_y": "mm", "trailing_arm_outboard_z": "mm", "trailing_arm_pivot_a_x": "mm", "trailing_arm_pivot_a_y": "mm", "trailing_arm_pivot_a_z": "mm", "trailing_arm_pivot_b_x": "mm", "trailing_arm_pivot_b_y": "mm", "trailing_arm_pivot_b_z": "mm", "wheel_center_x": "mm", "wheel_center_y": "mm", "wheel_center_z": "mm", "wheel_contact_centre_x": "mm", "wheel_contact_centre_y": "mm", "wheel_contact_centre_z": "mm", "wheel_inboard_x": "mm", "wheel_inboard_y": "mm", "wheel_inboard_z": "mm", "wheel_outboard_x": "mm", "wheel_outboard_y": "mm", "wheel_outboard_z": "mm", "wheel_travel": "mm"}
#
step_index,solver_converged,solver_max_residual,solver_nfev,target_damper_length_left,camber,caster,kpi,steering_axis_offset_ground,scrub_radius,mechanical_trail,toe_angle,steer_angle,svic_x,svic_z,svsa_length,fvic_y,fvic_z,fvsa_length,wheel_travel,half_track,damper_length,svsa_angle,anti_dive,anti_lift,anti_squat,deriv_camber_wrt_hub_z,deriv_toe_angle_wrt_hub_z,deriv_steer_angle_wrt_hub_z,deriv_caster_wrt_hub_z,deriv_kpi_wrt_hub_z,deriv_half_track_wrt_hub_z,deriv_wheel_center_x_wrt_hub_z,deriv_damper_length_wrt_hub_z,trailing_arm_pivot_a_x,trailing_arm_pivot_a_y,trailing_arm_pivot_a_z,trailing_arm_pivot_b_x,trailing_arm_pivot_b_y,trailing_arm_pivot_b_z,trailing_arm_outboard_x,trailing_arm_outboard_y,trailing_arm_outboard_z,axle_inboard_x,axle_inboard_y,axle_inboard_z,axle_outboard_x,axle_outboard_y,axle_outboard_z,axle_midpoint_x,axle_midpoint_y,axle_midpoint_z,wheel_center_x,wheel_center_y,wheel_center_z,wheel_inboard_x,wheel_inboard_y,wheel_inboard_z,wheel_outboard_x,wheel_outboard_y,wheel_outboard_z,wheel_contact_centre_x,wheel_contact_centre_y,wheel_contact_centre_z,strut_top_x,strut_top_y,strut_top_z,strut_bottom_x,strut_bottom_y,strut_bottom_z
10,True,1.1368683772161603e-13,4,304.47232503936107,-180.0,-0.0,90.0,,,,180.0,-180.0,-1865.0,278.5,374.1606975565196,,,,25.075349750800683,47.474,304.47232603936106,34.18379212324725,,,-50.78041043608778,,,,,,,,,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2239.1606975565196,70.33200001400823,303.5753497508007,-2239.1606975565196,69.332,303.5753497508007,-2239.1606975565196,23.737,303.5753497508007,-2239.1606975565196,46.534499999999994,303.5753497508007,-2239.1606975565196,47.474,303.5753497508007,-2239.1606975565196,94.97399999999999,303.5753497508007,-2239.1606975565196,-0.026000000000003354,303.5753497508007,-2239.1606975565196,47.474,24.375349750800694,-1901.921,100.0,546.579,-2131.977957823086,100.0,347.1367941332229
11,True,1.1368683772161603e-13,4,305.9723250393613,-180.0,-0.0,90.0,,,,180.0,-180.0,-1865.0,278.5,374.31855931829796,,,,22.59683409197413,47.474,305.9723260393613,34.431449035116316,,,-45.361527060465654,,,,,,,,,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2239.318559318298,70.33200001400823,301.09683409197413,-2239.318559318298,69.332,301.09683409197413,-2239.318559318298,23.737,301.09683409197413,-2239.318559318298,46.534499999999994,301.09683409197413,-2239.318559318298,47.474,301.09683409197413,-2239.318559318298,94.97399999999999,301.09683409197413,-2239.318559318298,-0.026000000000003354,301.09683409197413,-2239.318559318298,47.474,21.896834091974142,-1901.921,100.0,546.579,-2132.4266658975157,100.0,345.3671656286586
12,True,2.8421709430404007e-13,4,307.4723250393609,-180.0,-0.0,90.0,,,,180.0,-180.0,-1865.0,278.5,374.46030178194815,,,,20.11176646838311,47.474,307.4723260393609,34.6792719241646,,,-40.023998779729645,,,,,,,,,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2239.460301781948,70.33200001400834,298.6117664683831,-2239.460301781948,69.332,298.6117664683831,-2239.460301781948,23.737,298.6117664683831,-2239.460301781948,46.534499999999994,298.6117664683831,-2239.460301781948,47.474,298.6117664683831,-2239.460301781948,94.97399999999999,298.6117664683831,-2239.460301781948,-0.026000000000003354,298.6117664683831,-2239.460301781948,47.474,19.41176646838312,-1901.921,100.0,546.579,-2132.8646110021164,100.0,343.5906263985588
13,True,1.7053025658242404e-13,4,308.9723250393611,-180.0,-0.0,90.0,,,,180.0,-180.0,-1865.0,278.5,374.58581106065867,,,,17.620184821244663,47.474,308.9723260393611,34.927269732054384,,,-34.76563300881151,,,,,,,,,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2239.5858110606587,70.33200001400827,296.12018482124466,-2239.5858110606587,69.332,296.12018482124466,-2239.5858110606587,23.737,296.12018482124466,-2239.5858110606587,46.534499999999994,296.12018482124466,-2239.5858110606587,47.474,296.12018482124466,-2239.5858110606587,94.97399999999999,296.12018482124466,-2239.5858110606587,-0.026000000000003354,296.12018482124466,-2239.5858110606587,47.474,16.920184821244675,-1901.921,100.0,546.579,-2133.2917057211257,100.0,341.80718848219965
14,True,2.8421709430404007e-13,4,310.47232503936135,-180.0,-0.0,90.0,,,,180.0,-180.0,-1865.0,278.5,374.6949719708832,,,,15.122127523784684,47.474,310.47232603936135,35.17545143939558,,,-29.584289674369625,,,,,,,,,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2239.694971970883,70.33200001400844,293.6221275237847,-2239.694971970883,69.332,293.6221275237847,-2239.694971970883,23.737,293.6221275237847,-2239.694971970883,46.534499999999994,293.6221275237847,-2239.694971970883,47.474,293.6221275237847,-2239.694971970883,94.97399999999999,293.6221275237847,-2239.694971970883,-0.026000000000003354,293.6221275237847,-2239.694971970883,47.474,14.422127523784695,-1901.921,100.0,546.579,-2133.707861643449,100.0,340.0168640559406
15,True,2.2737367544323206e-13,4,311.97232503936124,-180.0,-0.0,90.0,,,,180.0,-180.0,-1865.0,278.5,374.78766800514495,,,,12.617633390291871,47.474,311.97232603936123,35.42382606851662,,,-24.477879291119457,,,,,,,,,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2239.787668005145,70.33200001400839,291.11763339029187,-2239.787668005145,69.332,291.11763339029187,-2239.787668005145,23.737,291.11763339029187,-2239.787668005145,46.534499999999994,291.11763339029187,-2239.787668005145,47.474,291.11763339029187,-2239.787668005145,94.97399999999999,291.11763339029187,-2239.787668005145,-0.026000000000003354,291.11763339029187,-2239.787668005145,47.474,11.917633390291883,-1901.921,100.0,546.579,-2134.112989341787,100.0,338.2196654360956
16,True,1.7053025658242404e-13,4,313.4723250393612,-180.0,-0.0,90.0,,,,180.0,-180.0,-1865.0,278.5,374.8637813041032,,,,10.106741685428005,47.474,313.4723260393612,35.672402686273976,,,-19.444361101622214,,,,,,,,,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2239.863781304103,70.33200001400841,288.606741685428,-2239.863781304103,69.332,288.606741685428,-2239.863781304103,23.737,288.606741685428,-2239.863781304103,46.534499999999994,288.606741685428,-2239.863781304103,47.474,288.606741685428,-2239.863781304103,94.97399999999999,288.606741685428,-2239.863781304103,-0.026000000000003354,288.606741685428,-2239.863781304103,47.474,9.406741685428017,-1901.921,100.0,546.579,-2134.5069983511944,100.0,336.4156050818892
17,True,2.2737367544323206e-13,4,314.97232503936135,-180.0,-0.0,90.0,,,,180.0,-180.0,-1865.0,278.5,374.9231926278467,,,,7.589492133787587,47.474,314.97232603936135,35.92119040690533,,,-14.481741276420783,,,,,,,,,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2239.9231926278467,70.33200001400824,286.0894921337876,-2239.9231926278467,69.332,286.0894921337876,-2239.9231926278467,23.737,286.0894921337876,-2239.9231926278467,46.534499999999994,286.0894921337876,-2239.9231926278467,47.474,286.0894921337876,-2239.9231926278467,94.97399999999999,286.0894921337876,-2239.9231926278467,-0.026000000000003354,286.0894921337876,-2239.9231926278467,47.474,6.8894921337875985,-1901.921,100.0,546.579,-2134.8897971470446,100.0,334.6046955984878
18,True,5.684341886080801e-13,4,316.4723250393606,-180.0,-0.0,90.0,,,,180.0,-180.0,-1865.0,278.5,374.9657813263934,,,,5.065924929732432,47.474,316.4723260393606,36.17019839492628,,,-9.588071171604561,,,,,,,,,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2239.9657813263934,70.33200001400829,283.56592492973243,-2239.9657813263934,69.332,283.56592492973243,-2239.9657813263934,23.737,283.56592492973243,-2239.9657813263934,46.534499999999994,283.56592492973243,-2239.9657813263934,47.474,283.56592492973243,-2239.9657813263934,94.97399999999999,283.56592492973243,-2239.9657813263934,-0.026000000000003354,283.56592492973243,-2239.9657813263934,47.474,4.365924929732444,-1901.921,100.0,546.579,-2135.2612931223875,100.0,332.78694974012325
19,True,5.684341886080802e-14,4,317.97232503936124,-180.0,-0.0,90.0,,,,180.0,-180.0,-1865.0,278.5,374.99142530936433,,,,2.536080747484391,47.474,317.97232603936123,36.41943586807656,,,-4.761445640920159,,,,,,,,,-1865.0,130.0,278.5,-1865.0,0.0,278.5,-2239.9914253093643,70.33200001400836,281.0360807474844,-2239.9914253093643,69.332,281.0360807474844,-2239.9914253093643,23.737,281.0360807474844,-2239.9914253093643,46.534499999999994,281.0360807474844,-2239.9914253093643,47.474,281.0360807474844,-2239.9914253093643,94.97399999999999,281.0360807474844,-2239.9914253093643,-0.026000000000003354,281.0360807474844,-2239.9914253093643,47.474,1.8360807474844023,-1901.921,100.0,546.579,-2135.6213925646734,100.0,330.9623804132914
