fvsa_length,bump_steer,bump_scrub,joint_force,lower_wishbone_inboard_front.y,lower_wishbone_inboard_rear.y,lower_wishbone_inboard_front.z,lower_wishbone_inboard_rear.z,upper_wishbone_inboard_front.y,upper_wishbone_inboard_rear.y,upper_wishbone_inboard_front.z,upper_wishbone_inboard_rear.z,lower_wishbone_outboard.x,lower_wishbone_outboard.y,lower_wishbone_outboard.z,upper_wishbone_outboard.x,upper_wishbone_outboard.y,upper_wishbone_outboard.z,axle_outboard.x,axle_outboard.y,axle_outboard.z,axle_inboard.x,axle_inboard.y,axle_inboard.z,lower_wishbone_inboard_front.x,lower_wishbone_inboard_rear.x,upper_wishbone_inboard_front.x,upper_wishbone_inboard_rear.x,strut_top.x,strut_top.y,strut_top.z,strut_bottom.x,strut_bottom.y,strut_bottom.z,trackrod_outboard.x,trackrod_outboard.z,trackrod_outboard.y,trackrod_inboard.x,trackrod_inboard.z,trackrod_inboard.y
13602.852345155252,0.823402759828987,0.01924185882663398,3377.0229233240716,109.78684033011878,109.78684033011878,160.05593595946857,160.05593595946857,267.45411804061126,267.45411804061126,462.49234331608164,462.49234331608164,14.742070897897088,474.22525279450167,158.43546754176364,-22.94246597178141,424.2952689486662,465.3513907862066,0.0,523.737,278.5,0.0,423.73699999999997,278.5,247.25733381927967,-160.4545161764178,195.23964398990023,-247.51093229183635,-112.22066180867412,320.7713173551384,457.23101798729243,-112.22066180867412,335.26467104621975,411.30500659898524,-128.65800174114224,463.0181045535239,432.94534370879245,-229.54253926250524,444.09118619032347,152.83657780024097
39801.245342046444,0.5702295096891177,0.06164428853068891,2734.180130240512,104.28645936058875,104.28645936058875,159.92919836076035,159.92919836076035,282.4454518415728,282.4454518415728,514.9012042917526,514.9012042917526,14.90827548038936,473.29817948131625,157.0818398440297,-29.046957850165974,412.4452176055375,515.0684874105278,0.0,523.737,278.5,0.0,423.73699999999997,278.5,232.3651579089069,-236.908980254788,164.2725126785588,-204.58021458693895,-0.6075949006671545,354.6560938758323,506.48407373439215,-0.6075949006671522,387.0819431446291,434.23367592025915,-124.39927449843228,423.906037692006,430.48935950775746,-217.11531321125233,416.8251644749027,223.37360797972113
182932097.94815445,0.07026099072611507,0.18201065050204632,3014.5395503186837,100.61814704135836,100.61814704135836,160.07734197098375,160.07734197098375,276.3790916038625,276.3790916038625,462.1536317036968,462.1536317036968,14.776602255905573,473.2377208291326,158.15423219951413,-22.457629078806207,421.92312532670115,461.4027111687537,0.0,523.737,278.5,0.0,423.73699999999997,278.5,240.09928087779988,-91.02065578900113,144.54228364256292,-112.18762038820827,49.323951888070724,319.2201906081775,449.9558651273926,49.323951888070724,364.5021002150507,383.6820486905053,-125.77572625092661,418.10391784555094,431.10693955385597,-183.91005857486272,418.4919531273052,265.66969126711825
113338449.719309,0.0678967080922244,0.18354453368693172,2890.3463928043284,100.61814704135836,100.61814704135836,160.07734197098375,160.07734197098375,276.3652313380567,276.3652313380567,462.1536317036968,462.1536317036968,14.776586878624927,473.2377208291326,158.15435743741483,-22.457644456086854,421.9231659612579,461.4028364066544,0.0,523.737,278.5,0.0,423.73699999999997,278.5,219.45815269243312,-93.08565473858263,144.54228364256292,-112.03027471888717,17.67277590529983,334.0737634099776,444.3352275934567,17.672775905299833,390.8183252349678,383.5452261112357,-125.85384930223653,418.0860908361787,431.44452264151465,-183.00460207500066,418.4919531273052,266.1964540227427
181984657.76441893,0.021687591188944932,0.8857072574348307,3082.0585470339893,100.44426345647938,100.44426345647938,160.39337836750929,160.39337836750929,209.86388720684198,209.86388720684198,463.8349907132084,463.8349907132084,14.676669435282948,474.1946145653441,158.96811971018943,-22.655662654364477,424.8384195250251,463.01556521247073,0.0,523.737,278.5,0.0,423.73699999999997,278.5,231.94854226556023,-164.96254023926642,146.0721715418723,-231.29661392052932,-68.97386842167577,322.4007526821746,435.67268714133996,-68.97386842167577,342.15262856452625,403.152456659045,-122.76616373922097,458.2470877313751,431.0687685379578,-213.9816009714713,459.0958367460952,217.9269972986363
269869620.8576848,0.23943279299200823,0.047305638597203284,2863.4720149251934,103.29274395351932,103.29274395351932,160.07688095428657,160.07688095428657,283.63788632132025,283.63788632132025,462.1610472108382,462.1610472108382,14.774510148014794,474.13419899161846,158.17127105094133,-22.461858611311783,424.5410267868514,461.4371579467075,0.0,523.737,278.5,0.0,423.73699999999997,278.5,203.240816194593,-70.10434925687574,129.4301364399318,-239.49367669030156,-19.97115476891372,356.24327953043905,428.4698850011987,-19.97115476891372,395.22314055459054,380.7203662413978,-124.30120728876291,419.51130139009706,429.9751779441655,-197.50984270085704,419.0384629034138,253.93643919125014
267940738.87994573,0.06378924519778517,0.7196192451619865,2972.416660997823,101.68430796244739,101.68430796244739,160.0886758335662,160.0886758335662,226.01404625928478,226.01404625928478,462.4475038713698,462.4475038713698,14.588565739518236,472.5666915221627,159.68566673008212,-22.559979945326457,420.5897996355799,462.236292082898,0.0,523.737,278.5,0.0,423.73699999999997,278.5,220.36548248082818,-169.83639686412027,154.42326530239535,-242.0285134484513,-15.731179003379822,324.58419614091883,431.6703638843737,-15.731179003379822,389.0143417324116,383.41705909108543,-124.29190577558907,456.1798344162988,431.06111930836175,-216.3741868761335,456.4849345921146,226.22386890245662
96296.29242965709,0.6125828709678295,0.34458476044482916,2733.878011571077,100.96615729600879,100.96615729600879,160.0871860261856,160.0871860261856,274.67879017493306,274.67879017493306,517.5581491271302,517.5581491271302,14.752025556888245,474.2192974879008,158.3543933503673,-29.336833580297192,415.76051984105527,517.4293357777785,0.0,523.737,278.5,0.0,423.73699999999997,278.5,236.31873696398267,-235.55577198757877,142.0478152177876,-237.5460912859781,-1.741869959900808,367.3739331346792,487.48173799426354,-1.7418699599008107,385.6038585170545,444.82173572310506,-123.33250342189547,424.47278574994635,431.2805390143376,-199.27732642139085,418.48619164461064,252.92585468313524
49635.95445503765,0.031143064139195566,0.7700552194343804,2757.5918211357475,107.34852703784685,107.34852703784685,161.60518232468323,161.60518232468323,226.80880820242567,226.80880820242567,516.9872292314072,516.9872292314072,14.735907508133746,473.1055052600008,158.48566432316693,-29.25274850674421,412.3101589314206,516.7445178093413,0.0,523.737,278.5,0.0,423.73699999999997,278.5,240.11983087827684,-232.9680310925595,106.3496673729053,-214.9709388250802,-46.53671529389189,353.45673270130817,491.91034277899746,-46.53671529389189,382.36395354417687,431.1731078458622,-123.12302310636433,456.15208493840555,430.23704566535946,-196.6002816512131,456.5573626275329,223.48304026115392
211548635.46245113,0.35533520080962167,0.04625759901819736,2828.9765986160282,102.16641780996078,102.16641780996078,160.0159909077773,160.0159909077773,276.0420635943025,276.0420635943025,462.05697287199496,462.05697287199496,14.788802722004524,472.2875999584312,158.0548673770215,-22.444903769031093,419.118565408857,461.2990718375419,0.0,523.737,278.5,0.0,423.73699999999997,278.5,235.23553398986184,-236.23607950152382,117.04198845291005,-200.58939270903866,-28.436647023414366,350.54471757174815,434.6970369003489,-28.436647023414366,399.620610069685,394.20687225075295,-122.70278070047658,420.2645194706817,433.22574316946725,-191.0014288198841,419.58971568863393,240.47690846726223
